season,date,home_team,away_team,home_score,away_score,home_xg,away_xg,home_PPDA,home_season_xPTS,home_season_xG,home_season_xGA,away_PPDA,away_season_xPTS,away_season_xG,away_season_xGA
16/17,5/16/17,MCI,WBA,3.0,1.0,2.58,0.39,6.43,85.41,79.85,29.61,14.71,45.59,38.21,47.9
16/17,5/17/17,SOU,MUN,0.0,0.0,1.67,0.46,8.6,55.69,49.98,43.08,8.57,70.89,57.57,31.62
16/17,5/18/17,LEI,TOT,1.0,6.0,0.73,2.65,11.48,48.12,44.34,51.3,7.4,75.37,70.07,33.78
16/17,5/21/17,ARS,EVE,3.0,1.0,3.35,1.88,8.26,62.12,63.58,47.07,9.85,55.78,49.63,45.78
16/17,5/21/17,BUR,WHU,1.0,2.0,1.71,1.67,12.13,38.36,35.59,55.27,11.03,46.04,48.25,59.67
16/17,5/21/17,CHE,SUN,5.0,1.0,2.74,0.69,11.08,75.74,61.8,28.62,12.65,32.24,34.22,65.66
16/17,5/21/17,HUL,TOT,1.0,7.0,0.81,3.89,14.16,30.73,33.84,71.77,7.4,75.37,70.07,33.78
16/17,5/21/17,LEI,BOU,1.0,1.0,2.45,0.87,11.48,48.12,44.34,51.3,10.68,43.17,50.02,62.99
16/17,5/21/17,LIV,MID,3.0,0.0,2.17,0.9,7.23,69.83,66.63,37.65,10.28,37.25,30.93,55.3
16/17,5/21/17,MUN,CRY,2.0,0.0,1.04,0.3,8.57,70.89,57.57,31.62,9.07,48.45,45.4,50.03
16/17,5/21/17,SOU,STK,0.0,1.0,1.36,0.98,8.6,55.69,49.98,43.08,11.49,52.29,47.87,48.67
16/17,5/21/17,SWA,WBA,2.0,1.0,1.75,1.61,12.52,36.49,39.5,65.13,14.71,45.59,38.21,47.9
16/17,5/21/17,WAT,MCI,0.0,5.0,0.83,3.27,10.25,40.62,36.25,52.62,6.43,85.41,79.85,29.61
17/18,8/11/17,ARS,LEI,4.0,3.0,2.54,1.46,9.13,65.9,72.27,48.75,11.37,55.85,50.29,49.36
17/18,8/12/17,WAT,LIV,3.0,3.0,2.18,2.62,10.34,46.69,45.85,53.98,9.55,79.38,77.49,35.75
17/18,8/12/17,WBA,BOU,1.0,0.0,1.18,0.38,13.33,42.96,35.18,48.99,14.03,37.64,39.99,64.93
17/18,8/12/17,SOU,SWA,0.0,0.0,2.22,0.41,9.55,48.72,41.88,46.56,14.65,32.31,29.71,61.83
17/18,8/12/17,CHE,BUR,2.0,3.0,1.36,0.56,12.31,68.46,59.16,34.03,13.67,41.0,32.77,52.16
17/18,8/12/17,CRY,HUD,0.0,3.0,0.99,1.74,11.69,58.03,56.75,53.54,12.22,36.84,32.13,53.22
17/18,8/12/17,EVE,STK,1.0,0.0,0.72,0.28,10.24,47.0,43.71,55.5,13.81,36.17,36.75,65.54
17/18,8/12/17,BRI,MCI,0.0,2.0,0.28,1.87,15.57,40.85,37.21,53.08,6.4,91.09,91.43,24.51
17/18,8/13/17,NEW,TOT,0.0,2.0,0.63,2.34,13.38,46.24,44.63,52.47,7.58,76.02,68.91,35.86
17/18,8/13/17,MUN,WHU,4.0,0.0,2.64,0.63,10.25,62.33,59.04,43.54,12.39,39.26,36.8,58.37
17/18,8/19/17,SWA,MUN,0.0,4.0,0.3,3.41,14.65,32.31,29.71,61.83,10.25,62.33,59.04,43.54
17/18,8/19/17,SOU,WHU,3.0,2.0,2.14,1.53,9.55,48.72,41.88,46.56,12.39,39.26,36.8,58.37
17/18,8/19/17,BOU,WAT,0.0,2.0,0.77,2.18,14.03,37.64,39.99,64.93,10.34,46.69,45.85,53.98
17/18,8/19/17,BUR,WBA,0.0,1.0,1.37,0.65,13.67,41.0,32.77,52.16,13.33,42.96,35.18,48.99
17/18,8/19/17,LEI,BRI,2.0,0.0,1.88,0.12,11.37,55.85,50.29,49.36,15.57,40.85,37.21,53.08
17/18,8/19/17,LIV,CRY,1.0,0.0,2.85,0.73,9.55,79.38,77.49,35.75,11.69,58.03,56.75,53.54
17/18,8/19/17,STK,ARS,1.0,0.0,0.69,1.41,13.81,36.17,36.75,65.54,9.13,65.9,72.27,48.75
17/18,8/20/17,HUD,NEW,1.0,0.0,0.27,0.97,12.22,36.84,32.13,53.22,13.38,46.24,44.63,52.47
17/18,8/20/17,TOT,CHE,1.0,2.0,0.72,0.83,7.58,76.02,68.91,35.86,12.31,68.46,59.16,34.03
17/18,8/21/17,MCI,EVE,1.0,1.0,1.14,0.6,6.4,91.09,91.43,24.51,10.24,47.0,43.71,55.5
17/18,8/26/17,BOU,MCI,1.0,2.0,0.42,1.77,14.03,37.64,39.99,64.93,6.4,91.09,91.43,24.51
17/18,8/26/17,CRY,SWA,0.0,2.0,0.82,0.97,11.69,58.03,56.75,53.54,14.65,32.31,29.71,61.83
17/18,8/26/17,NEW,WHU,3.0,0.0,2.76,0.56,13.38,46.24,44.63,52.47,12.39,39.26,36.8,58.37
17/18,8/26/17,WAT,BRI,0.0,0.0,0.28,0.95,10.34,46.69,45.85,53.98,15.57,40.85,37.21,53.08
17/18,8/26/17,HUD,SOU,0.0,0.0,1.52,0.8,12.22,36.84,32.13,53.22,9.55,48.72,41.88,46.56
17/18,8/26/17,MUN,LEI,2.0,0.0,2.74,0.67,10.25,62.33,59.04,43.54,11.37,55.85,50.29,49.36
17/18,8/27/17,CHE,EVE,2.0,0.0,1.17,0.33,12.31,68.46,59.16,34.03,10.24,47.0,43.71,55.5
17/18,8/27/17,WBA,STK,1.0,1.0,0.88,0.98,13.33,42.96,35.18,48.99,13.81,36.17,36.75,65.54
17/18,8/27/17,TOT,BUR,1.0,1.0,2.35,0.67,7.58,76.02,68.91,35.86,13.67,41.0,32.77,52.16
17/18,8/27/17,LIV,ARS,4.0,0.0,3.46,0.48,9.55,79.38,77.49,35.75,9.13,65.9,72.27,48.75
17/18,9/9/17,MCI,LIV,5.0,0.0,3.15,0.67,6.4,91.09,91.43,24.51,9.55,79.38,77.49,35.75
17/18,9/9/17,SOU,WAT,0.0,2.0,0.33,0.58,9.55,48.72,41.88,46.56,10.34,46.69,45.85,53.98
17/18,9/9/17,LEI,CHE,1.0,2.0,1.35,1.04,11.37,55.85,50.29,49.36,12.31,68.46,59.16,34.03
17/18,9/9/17,ARS,BOU,3.0,0.0,2.49,0.58,9.13,65.9,72.27,48.75,14.03,37.64,39.99,64.93
17/18,9/9/17,BRI,WBA,3.0,1.0,0.4,0.87,15.57,40.85,37.21,53.08,13.33,42.96,35.18,48.99
17/18,9/9/17,EVE,TOT,0.0,3.0,1.15,2.18,10.24,47.0,43.71,55.5,7.58,76.02,68.91,35.86
17/18,9/9/17,STK,MUN,2.0,2.0,1.5,1.97,13.81,36.17,36.75,65.54,10.25,62.33,59.04,43.54
17/18,9/10/17,BUR,CRY,1.0,0.0,0.43,1.73,13.67,41.0,32.77,52.16,11.69,58.03,56.75,53.54
17/18,9/10/17,SWA,NEW,0.0,1.0,1.49,1.03,14.65,32.31,29.71,61.83,13.38,46.24,44.63,52.47
17/18,9/11/17,WHU,HUD,2.0,0.0,1.95,0.34,12.39,39.26,36.8,58.37,12.22,36.84,32.13,53.22
17/18,9/15/17,BOU,BRI,2.0,1.0,1.4,0.87,14.03,37.64,39.99,64.93,15.57,40.85,37.21,53.08
17/18,9/16/17,CRY,SOU,0.0,1.0,2.03,1.11,11.69,58.03,56.75,53.54,9.55,48.72,41.88,46.56
17/18,9/16/17,HUD,LEI,1.0,1.0,0.7,1.24,12.22,36.84,32.13,53.22,11.37,55.85,50.29,49.36
17/18,9/16/17,LIV,BUR,1.0,1.0,2.19,0.33,9.55,79.38,77.49,35.75,13.67,41.0,32.77,52.16
17/18,9/16/17,NEW,STK,2.0,1.0,2.66,0.68,13.38,46.24,44.63,52.47,13.81,36.17,36.75,65.54
17/18,9/16/17,WAT,MCI,0.0,6.0,0.8,3.99,10.34,46.69,45.85,53.98,6.4,91.09,91.43,24.51
17/18,9/16/17,WBA,WHU,0.0,0.0,0.78,0.27,13.33,42.96,35.18,48.99,12.39,39.26,36.8,58.37
17/18,9/16/17,TOT,SWA,0.0,0.0,1.18,0.15,7.58,76.02,68.91,35.86,14.65,32.31,29.71,61.83
17/18,9/17/17,CHE,ARS,0.0,0.0,0.76,1.42,12.31,68.46,59.16,34.03,9.13,65.9,72.27,48.75
17/18,9/17/17,MUN,EVE,4.0,0.0,3.29,1.06,10.25,62.33,59.04,43.54,10.24,47.0,43.71,55.5
17/18,9/23/17,WHU,TOT,2.0,3.0,0.68,1.45,12.39,39.26,36.8,58.37,7.58,76.02,68.91,35.86
17/18,9/23/17,STK,CHE,0.0,4.0,0.6,1.6,13.81,36.17,36.75,65.54,12.31,68.46,59.16,34.03
17/18,9/23/17,SWA,WAT,1.0,2.0,1.51,1.26,14.65,32.31,29.71,61.83,10.34,46.69,45.85,53.98
17/18,9/23/17,SOU,MUN,0.0,1.0,0.8,1.07,9.55,48.72,41.88,46.56,10.25,62.33,59.04,43.54
17/18,9/23/17,MCI,CRY,5.0,0.0,5.73,0.61,6.4,91.09,91.43,24.51,11.69,58.03,56.75,53.54
17/18,9/23/17,BUR,HUD,0.0,0.0,0.37,0.31,13.67,41.0,32.77,52.16,12.22,36.84,32.13,53.22
17/18,9/23/17,EVE,BOU,2.0,1.0,2.21,0.38,10.24,47.0,43.71,55.5,14.03,37.64,39.99,64.93
17/18,9/23/17,LEI,LIV,2.0,3.0,2.89,1.93,11.37,55.85,50.29,49.36,9.55,79.38,77.49,35.75
17/18,9/24/17,BRI,NEW,1.0,0.0,0.51,1.37,15.57,40.85,37.21,53.08,13.38,46.24,44.63,52.47
17/18,9/25/17,ARS,WBA,2.0,0.0,2.39,0.77,9.13,65.9,72.27,48.75,13.33,42.96,35.18,48.99
17/18,9/30/17,HUD,TOT,0.0,4.0,0.2,1.56,12.22,36.84,32.13,53.22,7.58,76.02,68.91,35.86
17/18,9/30/17,MUN,CRY,4.0,0.0,3.48,0.24,10.25,62.33,59.04,43.54,11.69,58.03,56.75,53.54
17/18,9/30/17,STK,SOU,2.0,1.0,2.68,1.43,13.81,36.17,36.75,65.54,9.55,48.72,41.88,46.56
17/18,9/30/17,WBA,WAT,2.0,2.0,1.94,1.62,13.33,42.96,35.18,48.99,10.34,46.69,45.85,53.98
17/18,9/30/17,WHU,SWA,1.0,0.0,0.69,0.18,12.39,39.26,36.8,58.37,14.65,32.31,29.71,61.83
17/18,9/30/17,BOU,LEI,0.0,0.0,1.4,0.59,14.03,37.64,39.99,64.93,11.37,55.85,50.29,49.36
17/18,9/30/17,CHE,MCI,0.0,1.0,0.91,1.23,12.31,68.46,59.16,34.03,6.4,91.09,91.43,24.51
17/18,10/1/17,ARS,BRI,2.0,0.0,2.48,0.39,9.13,65.9,72.27,48.75,15.57,40.85,37.21,53.08
17/18,10/1/17,EVE,BUR,0.0,1.0,0.93,0.38,10.24,47.0,43.71,55.5,13.67,41.0,32.77,52.16
17/18,10/1/17,NEW,LIV,1.0,1.0,0.28,1.64,13.38,46.24,44.63,52.47,9.55,79.38,77.49,35.75
17/18,10/14/17,LIV,MUN,0.0,0.0,1.93,0.23,9.55,79.38,77.49,35.75,10.25,62.33,59.04,43.54
17/18,10/14/17,BUR,WHU,1.0,1.0,0.7,0.84,13.67,41.0,32.77,52.16,12.39,39.26,36.8,58.37
17/18,10/14/17,CRY,CHE,2.0,1.0,1.52,0.65,11.69,58.03,56.75,53.54,12.31,68.46,59.16,34.03
17/18,10/14/17,MCI,STK,7.0,2.0,4.45,0.68,6.4,91.09,91.43,24.51,13.81,36.17,36.75,65.54
17/18,10/14/17,SWA,HUD,2.0,0.0,1.65,0.6,14.65,32.31,29.71,61.83,12.22,36.84,32.13,53.22
17/18,10/14/17,TOT,BOU,1.0,0.0,1.96,0.18,7.58,76.02,68.91,35.86,14.03,37.64,39.99,64.93
17/18,10/14/17,WAT,ARS,2.0,1.0,1.63,0.99,10.34,46.69,45.85,53.98,9.13,65.9,72.27,48.75
17/18,10/15/17,BRI,EVE,1.0,1.0,1.06,1.46,15.57,40.85,37.21,53.08,10.24,47.0,43.71,55.5
17/18,10/15/17,SOU,NEW,2.0,2.0,1.71,0.95,9.55,48.72,41.88,46.56,13.38,46.24,44.63,52.47
17/18,10/16/17,LEI,WBA,1.0,1.0,0.96,0.16,11.37,55.85,50.29,49.36,13.33,42.96,35.18,48.99
17/18,10/20/17,WHU,BRI,0.0,3.0,0.57,1.98,12.39,39.26,36.8,58.37,15.57,40.85,37.21,53.08
17/18,10/21/17,HUD,MUN,2.0,1.0,1.27,0.81,12.22,36.84,32.13,53.22,10.25,62.33,59.04,43.54
17/18,10/21/17,MCI,BUR,3.0,0.0,3.72,0.15,6.4,91.09,91.43,24.51,13.67,41.0,32.77,52.16
17/18,10/21/17,NEW,CRY,1.0,0.0,0.27,0.57,13.38,46.24,44.63,52.47,11.69,58.03,56.75,53.54
17/18,10/21/17,STK,BOU,1.0,2.0,1.6,1.12,13.81,36.17,36.75,65.54,14.03,37.64,39.99,64.93
17/18,10/21/17,SWA,LEI,1.0,2.0,0.56,1.81,14.65,32.31,29.71,61.83,11.37,55.85,50.29,49.36
17/18,10/21/17,SOU,WBA,1.0,0.0,2.02,0.5,9.55,48.72,41.88,46.56,13.33,42.96,35.18,48.99
17/18,10/21/17,CHE,WAT,4.0,2.0,1.78,1.8,12.31,68.46,59.16,34.03,10.34,46.69,45.85,53.98
17/18,10/22/17,EVE,ARS,2.0,5.0,0.81,3.86,10.24,47.0,43.71,55.5,9.13,65.9,72.27,48.75
17/18,10/22/17,TOT,LIV,4.0,1.0,2.62,0.67,7.58,76.02,68.91,35.86,9.55,79.38,77.49,35.75
17/18,10/28/17,MUN,TOT,1.0,0.0,0.94,1.09,10.25,62.33,59.04,43.54,7.58,76.02,68.91,35.86
17/18,10/28/17,ARS,SWA,2.0,1.0,2.38,0.84,9.13,65.9,72.27,48.75,14.65,32.31,29.71,61.83
17/18,10/28/17,CRY,WHU,2.0,2.0,2.92,0.74,11.69,58.03,56.75,53.54,12.39,39.26,36.8,58.37
17/18,10/28/17,WBA,MCI,2.0,3.0,1.12,2.77,13.33,42.96,35.18,48.99,6.4,91.09,91.43,24.51
17/18,10/28/17,WAT,STK,0.0,1.0,1.13,0.78,10.34,46.69,45.85,53.98,13.81,36.17,36.75,65.54
17/18,10/28/17,LIV,HUD,3.0,0.0,2.14,0.06,9.55,79.38,77.49,35.75,12.22,36.84,32.13,53.22
17/18,10/28/17,BOU,CHE,0.0,1.0,0.46,1.78,14.03,37.64,39.99,64.93,12.31,68.46,59.16,34.03
17/18,10/29/17,BRI,SOU,1.0,1.0,1.51,0.54,15.57,40.85,37.21,53.08,9.55,48.72,41.88,46.56
17/18,10/29/17,LEI,EVE,2.0,0.0,1.37,0.58,11.37,55.85,50.29,49.36,10.24,47.0,43.71,55.5
17/18,10/30/17,BUR,NEW,1.0,0.0,1.03,0.52,13.67,41.0,32.77,52.16,13.38,46.24,44.63,52.47
17/18,11/4/17,STK,LEI,2.0,2.0,1.23,1.4,13.81,36.17,36.75,65.54,11.37,55.85,50.29,49.36
17/18,11/4/17,HUD,WBA,1.0,0.0,0.26,0.38,12.22,36.84,32.13,53.22,13.33,42.96,35.18,48.99
17/18,11/4/17,NEW,BOU,0.0,1.0,0.68,1.29,13.38,46.24,44.63,52.47,14.03,37.64,39.99,64.93
17/18,11/4/17,SOU,BUR,0.0,1.0,0.79,0.14,9.55,48.72,41.88,46.56,13.67,41.0,32.77,52.16
17/18,11/4/17,SWA,BRI,0.0,1.0,1.25,0.87,14.65,32.31,29.71,61.83,15.57,40.85,37.21,53.08
17/18,11/4/17,WHU,LIV,1.0,4.0,1.13,2.88,12.39,39.26,36.8,58.37,9.55,79.38,77.49,35.75
17/18,11/5/17,TOT,CRY,1.0,0.0,0.99,1.1,7.58,76.02,68.91,35.86,11.69,58.03,56.75,53.54
17/18,11/5/17,MCI,ARS,3.0,1.0,2.15,0.34,6.4,91.09,91.43,24.51,9.13,65.9,72.27,48.75
17/18,11/5/17,CHE,MUN,1.0,0.0,1.84,0.77,12.31,68.46,59.16,34.03,10.25,62.33,59.04,43.54
17/18,11/5/17,EVE,WAT,3.0,2.0,2.58,2.06,10.24,47.0,43.71,55.5,10.34,46.69,45.85,53.98
17/18,11/18/17,ARS,TOT,2.0,0.0,2.24,0.59,9.13,65.9,72.27,48.75,7.58,76.02,68.91,35.86
17/18,11/18/17,WBA,CHE,0.0,4.0,0.59,1.72,13.33,42.96,35.18,48.99,12.31,68.46,59.16,34.03
17/18,11/18/17,LIV,SOU,3.0,0.0,2.06,0.56,9.55,79.38,77.49,35.75,9.55,48.72,41.88,46.56
17/18,11/18/17,BUR,SWA,2.0,0.0,1.54,0.43,13.67,41.0,32.77,52.16,14.65,32.31,29.71,61.83
17/18,11/18/17,CRY,EVE,2.0,2.0,2.03,1.69,11.69,58.03,56.75,53.54,10.24,47.0,43.71,55.5
17/18,11/18/17,LEI,MCI,0.0,2.0,0.1,2.4,11.37,55.85,50.29,49.36,6.4,91.09,91.43,24.51
17/18,11/18/17,BOU,HUD,4.0,0.0,1.39,1.16,14.03,37.64,39.99,64.93,12.22,36.84,32.13,53.22
17/18,11/18/17,MUN,NEW,4.0,1.0,2.57,1.09,10.25,62.33,59.04,43.54,13.38,46.24,44.63,52.47
17/18,11/19/17,WAT,WHU,2.0,0.0,1.25,1.43,10.34,46.69,45.85,53.98,12.39,39.26,36.8,58.37
17/18,11/20/17,BRI,STK,2.0,2.0,0.49,1.21,15.57,40.85,37.21,53.08,13.81,36.17,36.75,65.54
17/18,11/24/17,WHU,LEI,1.0,1.0,0.78,0.45,12.39,39.26,36.8,58.37,11.37,55.85,50.29,49.36
17/18,11/25/17,TOT,WBA,1.0,1.0,1.92,0.72,7.58,76.02,68.91,35.86,13.33,42.96,35.18,48.99
17/18,11/25/17,SWA,BOU,0.0,0.0,0.88,0.45,14.65,32.31,29.71,61.83,14.03,37.64,39.99,64.93
17/18,11/25/17,NEW,WAT,0.0,3.0,0.86,2.06,13.38,46.24,44.63,52.47,10.34,46.69,45.85,53.98
17/18,11/25/17,MUN,BRI,1.0,0.0,1.5,0.57,10.25,62.33,59.04,43.54,15.57,40.85,37.21,53.08
17/18,11/25/17,CRY,STK,2.0,1.0,1.48,0.63,11.69,58.03,56.75,53.54,13.81,36.17,36.75,65.54
17/18,11/25/17,LIV,CHE,1.0,1.0,1.5,0.74,9.55,79.38,77.49,35.75,12.31,68.46,59.16,34.03
17/18,11/26/17,SOU,EVE,4.0,1.0,1.97,0.15,9.55,48.72,41.88,46.56,10.24,47.0,43.71,55.5
17/18,11/26/17,BUR,ARS,0.0,1.0,0.4,1.75,13.67,41.0,32.77,52.16,9.13,65.9,72.27,48.75
17/18,11/26/17,HUD,MCI,1.0,2.0,0.54,2.66,12.22,36.84,32.13,53.22,6.4,91.09,91.43,24.51
17/18,11/28/17,LEI,TOT,2.0,1.0,0.92,2.51,11.37,55.85,50.29,49.36,7.58,76.02,68.91,35.86
17/18,11/28/17,BRI,CRY,0.0,0.0,0.48,0.58,15.57,40.85,37.21,53.08,11.69,58.03,56.75,53.54
17/18,11/28/17,WAT,MUN,2.0,4.0,1.29,1.63,10.34,46.69,45.85,53.98,10.25,62.33,59.04,43.54
17/18,11/28/17,WBA,NEW,2.0,2.0,0.85,1.13,13.33,42.96,35.18,48.99,13.38,46.24,44.63,52.47
17/18,11/29/17,BOU,BUR,1.0,2.0,0.92,1.09,14.03,37.64,39.99,64.93,13.67,41.0,32.77,52.16
17/18,11/29/17,ARS,HUD,5.0,0.0,4.48,0.48,9.13,65.9,72.27,48.75,12.22,36.84,32.13,53.22
17/18,11/29/17,CHE,SWA,1.0,0.0,2.3,0.04,12.31,68.46,59.16,34.03,14.65,32.31,29.71,61.83
17/18,11/29/17,EVE,WHU,4.0,0.0,1.76,1.04,10.24,47.0,43.71,55.5,12.39,39.26,36.8,58.37
17/18,11/29/17,MCI,SOU,2.0,1.0,1.65,1.71,6.4,91.09,91.43,24.51,9.55,48.72,41.88,46.56
17/18,11/29/17,STK,LIV,0.0,3.0,0.85,2.59,13.81,36.17,36.75,65.54,9.55,79.38,77.49,35.75
17/18,12/2/17,CHE,NEW,3.0,1.0,3.08,0.52,12.31,68.46,59.16,34.03,13.38,46.24,44.63,52.47
17/18,12/2/17,EVE,HUD,2.0,0.0,0.82,0.22,10.24,47.0,43.71,55.5,12.22,36.84,32.13,53.22
17/18,12/2/17,LEI,BUR,1.0,0.0,1.61,0.79,11.37,55.85,50.29,49.36,13.67,41.0,32.77,52.16
17/18,12/2/17,STK,SWA,2.0,1.0,1.25,0.32,13.81,36.17,36.75,65.54,14.65,32.31,29.71,61.83
17/18,12/2/17,WAT,TOT,1.0,1.0,0.35,0.79,10.34,46.69,45.85,53.98,7.58,76.02,68.91,35.86
17/18,12/2/17,WBA,CRY,0.0,0.0,1.65,0.81,13.33,42.96,35.18,48.99,11.69,58.03,56.75,53.54
17/18,12/2/17,BRI,LIV,1.0,5.0,1.66,1.78,15.57,40.85,37.21,53.08,9.55,79.38,77.49,35.75
17/18,12/2/17,ARS,MUN,1.0,3.0,4.24,2.07,9.13,65.9,72.27,48.75,10.25,62.33,59.04,43.54
17/18,12/3/17,BOU,SOU,1.0,1.0,1.11,1.0,14.03,37.64,39.99,64.93,9.55,48.72,41.88,46.56
17/18,12/3/17,MCI,WHU,2.0,1.0,2.46,0.47,6.4,91.09,91.43,24.51,12.39,39.26,36.8,58.37
17/18,12/9/17,WHU,CHE,1.0,0.0,0.42,1.19,12.39,39.26,36.8,58.37,12.31,68.46,59.16,34.03
17/18,12/9/17,TOT,STK,5.0,1.0,4.02,0.75,7.58,76.02,68.91,35.86,13.81,36.17,36.75,65.54
17/18,12/9/17,SWA,WBA,1.0,0.0,1.01,0.25,14.65,32.31,29.71,61.83,13.33,42.96,35.18,48.99
17/18,12/9/17,BUR,WAT,1.0,0.0,0.49,0.82,13.67,41.0,32.77,52.16,10.34,46.69,45.85,53.98
17/18,12/9/17,CRY,BOU,2.0,2.0,4.61,0.96,11.69,58.03,56.75,53.54,14.03,37.64,39.99,64.93
17/18,12/9/17,HUD,BRI,2.0,0.0,2.68,0.27,12.22,36.84,32.13,53.22,15.57,40.85,37.21,53.08
17/18,12/9/17,NEW,LEI,2.0,3.0,0.96,0.44,13.38,46.24,44.63,52.47,11.37,55.85,50.29,49.36
17/18,12/10/17,SOU,ARS,1.0,1.0,1.22,0.61,9.55,48.72,41.88,46.56,9.13,65.9,72.27,48.75
17/18,12/10/17,LIV,EVE,1.0,1.0,1.9,0.82,9.55,79.38,77.49,35.75,10.24,47.0,43.71,55.5
17/18,12/10/17,MUN,MCI,1.0,2.0,1.44,2.03,10.25,62.33,59.04,43.54,6.4,91.09,91.43,24.51
17/18,12/12/17,BUR,STK,1.0,0.0,0.36,0.92,13.67,41.0,32.77,52.16,13.81,36.17,36.75,65.54
17/18,12/12/17,HUD,CHE,1.0,3.0,0.48,1.87,12.22,36.84,32.13,53.22,12.31,68.46,59.16,34.03
17/18,12/12/17,CRY,WAT,2.0,1.0,1.11,1.4,11.69,58.03,56.75,53.54,10.34,46.69,45.85,53.98
17/18,12/13/17,SWA,MCI,0.0,4.0,0.59,3.57,14.65,32.31,29.71,61.83,6.4,91.09,91.43,24.51
17/18,12/13/17,NEW,EVE,0.0,1.0,0.57,1.39,13.38,46.24,44.63,52.47,10.24,47.0,43.71,55.5
17/18,12/13/17,SOU,LEI,1.0,4.0,1.12,2.25,9.55,48.72,41.88,46.56,11.37,55.85,50.29,49.36
17/18,12/13/17,MUN,BOU,1.0,0.0,1.24,0.82,10.25,62.33,59.04,43.54,14.03,37.64,39.99,64.93
17/18,12/13/17,WHU,ARS,0.0,0.0,0.41,1.02,12.39,39.26,36.8,58.37,9.13,65.9,72.27,48.75
17/18,12/13/17,LIV,WBA,0.0,0.0,2.14,0.52,9.55,79.38,77.49,35.75,13.33,42.96,35.18,48.99
17/18,12/13/17,TOT,BRI,2.0,0.0,1.87,0.32,7.58,76.02,68.91,35.86,15.57,40.85,37.21,53.08
17/18,12/16/17,LEI,CRY,0.0,3.0,0.76,2.26,11.37,55.85,50.29,49.36,11.69,58.03,56.75,53.54
17/18,12/16/17,ARS,NEW,1.0,0.0,2.02,0.29,9.13,65.9,72.27,48.75,13.38,46.24,44.63,52.47
17/18,12/16/17,BRI,BUR,0.0,0.0,1.49,1.33,15.57,40.85,37.21,53.08,13.67,41.0,32.77,52.16
17/18,12/16/17,CHE,SOU,1.0,0.0,1.29,0.59,12.31,68.46,59.16,34.03,9.55,48.72,41.88,46.56
17/18,12/16/17,WAT,HUD,1.0,4.0,0.59,3.49,10.34,46.69,45.85,53.98,12.22,36.84,32.13,53.22
17/18,12/16/17,STK,WHU,0.0,3.0,0.98,3.08,13.81,36.17,36.75,65.54,12.39,39.26,36.8,58.37
17/18,12/16/17,MCI,TOT,4.0,1.0,4.15,0.18,6.4,91.09,91.43,24.51,7.58,76.02,68.91,35.86
17/18,12/17/17,WBA,MUN,1.0,2.0,1.08,0.9,13.33,42.96,35.18,48.99,10.25,62.33,59.04,43.54
17/18,12/17/17,BOU,LIV,0.0,4.0,0.54,3.25,14.03,37.64,39.99,64.93,9.55,79.38,77.49,35.75
17/18,12/18/17,EVE,SWA,3.0,1.0,2.02,0.77,10.24,47.0,43.71,55.5,14.65,32.31,29.71,61.83
17/18,12/22/17,ARS,LIV,3.0,3.0,1.13,2.06,9.13,65.9,72.27,48.75,9.55,79.38,77.49,35.75
17/18,12/23/17,EVE,CHE,0.0,0.0,0.34,1.85,10.24,47.0,43.71,55.5,12.31,68.46,59.16,34.03
17/18,12/23/17,SWA,CRY,1.0,1.0,0.55,1.26,14.65,32.31,29.71,61.83,11.69,58.03,56.75,53.54
17/18,12/23/17,WHU,NEW,2.0,3.0,2.32,1.91,12.39,39.26,36.8,58.37,13.38,46.24,44.63,52.47
17/18,12/23/17,BRI,WAT,1.0,0.0,1.4,1.3,15.57,40.85,37.21,53.08,10.34,46.69,45.85,53.98
17/18,12/23/17,STK,WBA,3.0,1.0,1.8,2.05,13.81,36.17,36.75,65.54,13.33,42.96,35.18,48.99
17/18,12/23/17,SOU,HUD,1.0,1.0,1.74,1.09,9.55,48.72,41.88,46.56,12.22,36.84,32.13,53.22
17/18,12/23/17,MCI,BOU,4.0,0.0,1.56,0.33,6.4,91.09,91.43,24.51,14.03,37.64,39.99,64.93
17/18,12/23/17,BUR,TOT,0.0,3.0,0.16,3.31,13.67,41.0,32.77,52.16,7.58,76.02,68.91,35.86
17/18,12/23/17,LEI,MUN,2.0,2.0,1.56,2.15,11.37,55.85,50.29,49.36,10.25,62.33,59.04,43.54
17/18,12/26/17,TOT,SOU,5.0,2.0,3.08,0.59,7.58,76.02,68.91,35.86,9.55,48.72,41.88,46.56
17/18,12/26/17,BOU,WHU,3.0,3.0,2.85,1.88,14.03,37.64,39.99,64.93,12.39,39.26,36.8,58.37
17/18,12/26/17,CHE,BRI,2.0,0.0,2.17,0.45,12.31,68.46,59.16,34.03,15.57,40.85,37.21,53.08
17/18,12/26/17,HUD,STK,1.0,1.0,1.88,1.2,12.22,36.84,32.13,53.22,13.81,36.17,36.75,65.54
17/18,12/26/17,MUN,BUR,2.0,2.0,1.81,0.79,10.25,62.33,59.04,43.54,13.67,41.0,32.77,52.16
17/18,12/26/17,WAT,LEI,2.0,1.0,1.43,1.55,10.34,46.69,45.85,53.98,11.37,55.85,50.29,49.36
17/18,12/26/17,WBA,EVE,0.0,0.0,1.18,0.41,13.33,42.96,35.18,48.99,10.24,47.0,43.71,55.5
17/18,12/26/17,LIV,SWA,5.0,0.0,3.06,0.27,9.55,79.38,77.49,35.75,14.65,32.31,29.71,61.83
