season,date,home_team,away_team,home_score,away_score,home_xg,away_xg,home_PPDA,home_season_xPTS,home_season_xG,home_season_xGA,away_PPDA,away_season_xPTS,away_season_xG,away_season_xGA
15/16,9/13/15,SUN,TOT,0.0,1.0,1.04,1.46,11.64,40.52,40.52,58.85,6.44,69.43,63.42,37.08
15/16,9/13/15,LEI,AVL,3.0,2.0,1.35,0.95,9.57,68.94,68.42,45.02,12.2,29.83,26.53,59.01
15/16,9/14/15,WHU,NEW,2.0,0.0,1.71,0.72,9.31,49.8,54.4,55.48,11.48,40.21,37.61,55.42
15/16,9/19/15,CHE,ARS,2.0,0.0,2.07,0.78,8.53,59.62,54.48,44.63,8.35,77.01,73.53,33.86
15/16,9/19/15,NEW,WAT,1.0,2.0,1.15,1.34,11.48,40.21,37.61,55.42,9.39,48.25,43.2,51.85
15/16,9/19/15,AVL,WBA,0.0,1.0,0.88,0.63,12.2,29.83,26.53,59.01,11.41,42.3,39.75,51.94
15/16,9/19/15,BOU,SUN,2.0,0.0,0.64,0.85,9.03,43.74,38.71,53.97,11.64,40.52,40.52,58.85
15/16,9/19/15,STK,LEI,2.0,2.0,1.15,1.23,9.94,48.3,42.63,54.35,9.57,68.94,68.42,45.02
15/16,9/19/15,SWA,EVE,0.0,0.0,0.86,1.77,9.46,42.4,39.96,53.63,11.12,52.69,53.98,54.75
15/16,9/19/15,MCI,WHU,1.0,2.0,2.98,1.0,7.78,70.14,66.2,37.47,9.31,49.8,54.4,55.48
15/16,9/20/15,TOT,CRY,1.0,0.0,1.02,0.54,6.44,69.43,63.42,37.08,9.03,44.89,42.51,52.94
15/16,9/20/15,SOU,MUN,2.0,3.0,1.84,1.65,9.12,61.08,56.2,44.29,7.73,56.44,45.42,39.66
15/16,9/20/15,LIV,NOR,1.0,1.0,1.9,0.56,7.48,63.29,54.37,37.88,11.82,39.18,39.19,58.93
15/16,9/26/15,TOT,MCI,4.0,1.0,2.31,1.58,6.44,69.43,63.42,37.08,7.78,70.14,66.2,37.47
15/16,9/26/15,SOU,SWA,3.0,1.0,1.55,1.42,9.12,61.08,56.2,44.29,9.46,42.4,39.96,53.63
15/16,9/26/15,STK,BOU,2.0,1.0,1.94,0.87,9.94,48.3,42.63,54.35,9.03,43.74,38.71,53.97
15/16,9/26/15,LEI,ARS,2.0,5.0,1.39,3.9,9.57,68.94,68.42,45.02,8.35,77.01,73.53,33.86
15/16,9/26/15,LIV,AVL,3.0,2.0,1.78,0.89,7.48,63.29,54.37,37.88,12.2,29.83,26.53,59.01
15/16,9/26/15,MUN,SUN,3.0,0.0,2.9,0.83,7.73,56.44,45.42,39.66,11.64,40.52,40.52,58.85
15/16,9/26/15,WHU,NOR,2.0,2.0,2.6,1.39,9.31,49.8,54.4,55.48,11.82,39.18,39.19,58.93
15/16,9/26/15,NEW,CHE,2.0,2.0,0.7,1.31,11.48,40.21,37.61,55.42,8.53,59.62,54.48,44.63
15/16,9/27/15,WAT,CRY,0.0,1.0,0.69,2.34,9.39,48.25,43.2,51.85,9.03,44.89,42.51,52.94
15/16,9/28/15,WBA,EVE,2.0,3.0,1.28,2.3,11.41,42.3,39.75,51.94,11.12,52.69,53.98,54.75
15/16,10/3/15,CRY,WBA,2.0,0.0,1.99,0.26,9.03,44.89,42.51,52.94,11.41,42.3,39.75,51.94
15/16,10/3/15,AVL,STK,0.0,1.0,0.84,1.03,12.2,29.83,26.53,59.01,9.94,48.3,42.63,54.35
15/16,10/3/15,BOU,WAT,1.0,1.0,1.5,0.91,9.03,43.74,38.71,53.97,9.39,48.25,43.2,51.85
15/16,10/3/15,MCI,NEW,6.0,1.0,3.33,0.98,7.78,70.14,66.2,37.47,11.48,40.21,37.61,55.42
15/16,10/3/15,NOR,LEI,1.0,2.0,1.18,3.0,11.82,39.18,39.19,58.93,9.57,68.94,68.42,45.02
15/16,10/3/15,SUN,WHU,2.0,2.0,1.08,1.94,11.64,40.52,40.52,58.85,9.31,49.8,54.4,55.48
15/16,10/3/15,CHE,SOU,1.0,3.0,0.52,1.58,8.53,59.62,54.48,44.63,9.12,61.08,56.2,44.29
15/16,10/4/15,EVE,LIV,1.0,1.0,1.2,1.31,11.12,52.69,53.98,54.75,7.48,63.29,54.37,37.88
15/16,10/4/15,SWA,TOT,2.0,2.0,0.77,1.18,9.46,42.4,39.96,53.63,6.44,69.43,63.42,37.08
